年月,地區,類別,男性[筆數],男性[金額，新台幣],女性[筆數],女性[金額，新台幣]
103年01月,高雄市,衣,58110,145755540,170586,457110168
103年02月,高雄市,衣,37694,88612776,116227,287007029
103年03月,高雄市,衣,37590,85689924,125197,308928606
103年04月,高雄市,衣,37330,83195149,123305,305753401
103年05月,高雄市,衣,41959,92502716,133411,330908628
103年06月,高雄市,衣,39534,86721365,123520,296214067
103年07月,高雄市,衣,42374,91670764,135442,313823877
103年08月,高雄市,衣,43431,94645499,133070,301796598
103年09月,高雄市,衣,36820,84739602,118786,289753588
103年10月,高雄市,衣,41191,97214834,126847,324309265
103年11月,高雄市,衣,38360,95111830,117753,315186389
103年12月,高雄市,衣,44759,107839871,145287,395092309
104年01月,高雄市,衣,46125,113979599,139513,378987719
104年02月,高雄市,衣,54454,132574095,151518,391755661
104年03月,高雄市,衣,38218,90944905,127714,319945090
104年04月,高雄市,衣,40514,89310858,132508,332642635
104年05月,高雄市,衣,46260,101054995,141889,349279394
104年06月,高雄市,衣,43186,94230213,136328,324323196
104年07月,高雄市,衣,45164,96578863,143223,328099543
104年08月,高雄市,衣,45839,98531391,134715,307054072
104年09月,高雄市,衣,42971,94717474,137905,329700071
104年10月,高雄市,衣,56657,123029369,168642,386552638
104年11月,高雄市,衣,47215,106882453,141250,346239826
104年12月,高雄市,衣,52221,115668123,160134,391119411
105年01月,高雄市,衣,60470,141358862,170557,429191839
105年02月,高雄市,衣,57659,130237660,157631,376997578
105年03月,高雄市,衣,41517,92263419,128304,310328350
105年04月,高雄市,衣,49661,102983808,153613,348856201
105年05月,高雄市,衣,49151,100559262,147797,339888768
105年06月,高雄市,衣,52957,106384213,156977,346723536
105年07月,高雄市,衣,54989,106562014,162429,342371452
105年08月,高雄市,衣,48802,99951254,144932,307615745
105年09月,高雄市,衣,41218,84283988,121299,271367541
105年10月,高雄市,衣,49849,107213128,142093,332479872
105年11月,高雄市,衣,44424,103006073,130096,327495932
105年12月,高雄市,衣,56776,126712956,161706,396623645
106年01月,高雄市,衣,60149,136666936,166747,413578014
106年02月,高雄市,衣,43451,95829509,124376,289969119
106年03月,高雄市,衣,42032,86436097,132146,304614651
106年04月,高雄市,衣,49349,97912261,146491,328511779
106年05月,高雄市,衣,51322,100601817,150189,340182814
106年06月,高雄市,衣,44084,89181208,131927,294572906
106年07月,高雄市,衣,50824,95223277,149330,316158353
106年08月,高雄市,衣,47797,90759021,139829,300248027
106年09月,高雄市,衣,41345,82827446,126906,289429231
106年10月,高雄市,衣,50944,105572818,146251,337467327
106年11月,高雄市,衣,43691,97038918,127020,319470013
106年12月,高雄市,衣,55125,119626716,162744,397404287
107年01月,高雄市,衣,45906,102047750,133749,334448146
107年02月,高雄市,衣,54851,126124432,152912,373759651
107年03月,高雄市,衣,39411,86511077,124573,295312228
107年04月,高雄市,衣,48892,100902764,142396,328457742
107年05月,高雄市,衣,48584,98094277,146417,336383192
103年01月,高雄市,百貨,244918,707907989,631529,1637250745
103年02月,高雄市,百貨,209670,598544249,549781,1347138130
103年03月,高雄市,百貨,188508,534492341,508910,1351158085
103年04月,高雄市,百貨,206300,592821808,599729,1690002894
103年05月,高雄市,百貨,228378,619572055,623415,1529536496
103年06月,高雄市,百貨,217144,541262563,572293,1346207003
103年07月,高雄市,百貨,231667,597781123,683918,1567870095
103年08月,高雄市,百貨,221853,574540806,631202,1447206140
103年09月,高雄市,百貨,185695,521852378,506040,1274573512
103年10月,高雄市,百貨,245039,790191660,771146,2399283592
103年11月,高雄市,百貨,295041,985064863,948203,2898356901
103年12月,高雄市,百貨,280335,818575552,846619,2116945630
104年01月,高雄市,百貨,210626,604015244,564916,1412973176
104年02月,高雄市,百貨,248693,770175089,640913,1740872887
104年03月,高雄市,百貨,175830,531989453,490036,1368288428
104年04月,高雄市,百貨,218829,647692115,653418,1834758104
104年05月,高雄市,百貨,228244,620182159,636890,1566076498
104年06月,高雄市,百貨,212733,532975635,584013,1398833386
104年07月,高雄市,百貨,234008,574311828,697797,1570141768
104年08月,高雄市,百貨,237026,587564312,660172,1439212541
104年09月,高雄市,百貨,199780,533879083,550862,1337078670
104年10月,高雄市,百貨,260659,828937556,792842,2492124628
104年11月,高雄市,百貨,278118,956381775,874212,2819965708
104年12月,高雄市,百貨,271663,783432735,791096,1946298646
105年01月,高雄市,百貨,242926,675932408,666678,1698878129
105年02月,高雄市,百貨,254167,725087650,650354,1633626648
105年03月,高雄市,百貨,162379,464757737,462634,1252133690
105年04月,高雄市,百貨,204909,588296838,605630,1705747171
105年05月,高雄市,百貨,211284,564480601,590081,1403868297
105年06月,高雄市,百貨,225338,540621216,625545,1416417449
105年07月,高雄市,百貨,234823,580331735,684053,1555655196
105年08月,高雄市,百貨,213356,502712513,610206,1293547207
105年09月,高雄市,百貨,181459,461116442,485597,1132970185
105年10月,高雄市,百貨,253166,721459976,740549,2152620539
105年11月,高雄市,百貨,271242,959921197,831252,2751687282
105年12月,高雄市,百貨,272006,730279225,767650,1825425539
106年01月,高雄市,百貨,266500,716595261,680176,1649311316
106年02月,高雄市,百貨,210442,532598141,558405,1247716351
106年03月,高雄市,百貨,182076,476367305,503633,1243628530
106年04月,高雄市,百貨,239405,651036382,670171,1818844737
106年05月,高雄市,百貨,243203,611926388,658215,1501972792
106年06月,高雄市,百貨,209972,454351448,562841,1123563822
106年07月,高雄市,百貨,242257,542879310,668170,1377544613
106年08月,高雄市,百貨,241936,532612558,657507,1287278336
106年09月,高雄市,百貨,198944,473973871,518449,1110371006
106年10月,高雄市,百貨,284117,803242731,796396,2382536489
106年11月,高雄市,百貨,272472,925272186,774490,2391451396
106年12月,高雄市,百貨,271148,719696224,699828,1609210433
107年01月,高雄市,百貨,207766,515119381,541171,1204926275
107年02月,高雄市,百貨,271126,732770774,681428,1658071870
107年03月,高雄市,百貨,187647,460311777,500834,1179452660
107年04月,高雄市,百貨,236203,655338639,627649,1677201615
107年05月,高雄市,百貨,229069,605828901,625074,1445391450
103年01月,高雄市,文教康樂,108024,640122049,148767,816909154
103年02月,高雄市,文教康樂,116208,648645149,155858,803620508
103年03月,高雄市,文教康樂,116928,665057140,153179,822835833
103年04月,高雄市,文教康樂,111235,682833852,145049,853605658
103年05月,高雄市,文教康樂,118534,755580380,152713,935363031
103年06月,高雄市,文教康樂,106219,741340925,140607,905072900
103年07月,高雄市,文教康樂,111930,732208202,152465,917953936
103年08月,高雄市,文教康樂,119127,707974087,160965,881073992
103年09月,高雄市,文教康樂,104654,737472966,150270,941212703
103年10月,高雄市,文教康樂,108119,707275487,151040,877487897
103年11月,高雄市,文教康樂,105157,622322230,140463,787643292
103年12月,高雄市,文教康樂,111107,664789609,163577,848407126
104年01月,高雄市,文教康樂,116371,678815625,156896,862832855
104年02月,高雄市,文教康樂,118172,699342035,164168,911431667
104年03月,高雄市,文教康樂,118379,804321447,159274,1005716180
104年04月,高雄市,文教康樂,122080,774554077,161669,985852031
104年05月,高雄市,文教康樂,118978,809849882,159538,1036636511
104年06月,高雄市,文教康樂,126668,807487170,169337,1043138803
104年07月,高雄市,文教康樂,132287,807438044,179077,1021277951
104年08月,高雄市,文教康樂,135759,772922712,184829,973577655
104年09月,高雄市,文教康樂,134430,758194654,177350,1007203094
104年10月,高雄市,文教康樂,137628,802524243,177036,999266644
104年11月,高雄市,文教康樂,129630,710341758,162898,889905383
104年12月,高雄市,文教康樂,135195,696636626,175858,886994024
105年01月,高雄市,文教康樂,123844,732257939,166561,959066095
105年02月,高雄市,文教康樂,131571,678195866,173727,865806089
105年03月,高雄市,文教康樂,118660,752486259,158866,977915446
105年04月,高雄市,文教康樂,115822,687624668,153138,893731564
105年05月,高雄市,文教康樂,120564,751359631,161129,1001527314
105年06月,高雄市,文教康樂,135823,807897295,178730,1059785357
105年07月,高雄市,文教康樂,138416,746622748,186993,954355089
105年08月,高雄市,文教康樂,132661,770710385,182836,996816619
105年09月,高雄市,文教康樂,114778,702613375,159036,914033838
105年10月,高雄市,文教康樂,134336,726629647,178019,960527193
105年11月,高雄市,文教康樂,131953,731234461,173702,947656870
105年12月,高雄市,文教康樂,140299,692628047,188062,916733221
106年01月,高雄市,文教康樂,141876,704097819,190001,961342770
106年02月,高雄市,文教康樂,145068,783446744,193259,1049532275
106年03月,高雄市,文教康樂,143548,874402186,189779,1112336399
106年04月,高雄市,文教康樂,150832,784101689,196943,1024486537
106年05月,高雄市,文教康樂,141469,877445176,185437,1146050718
106年06月,高雄市,文教康樂,138270,850505544,178163,1111284409
106年07月,高雄市,文教康樂,149784,771900515,192877,1021778476
106年08月,高雄市,文教康樂,147169,850402660,199069,1125009387
106年09月,高雄市,文教康樂,137300,836224232,185612,1143722230
106年10月,高雄市,文教康樂,146738,802923172,193480,1081846052
106年11月,高雄市,文教康樂,131813,749625818,173430,1003135400
106年12月,高雄市,文教康樂,139885,676825179,191611,921702566
107年01月,高雄市,文教康樂,130115,709885176,179622,977876010
107年02月,高雄市,文教康樂,134355,699988934,186201,971709156
107年03月,高雄市,文教康樂,140039,921503685,187499,1216987900
107年04月,高雄市,文教康樂,147750,805636855,189310,1086571177
107年05月,高雄市,文教康樂,136483,863003807,183110,1184329504
103年01月,高雄市,食,524102,1066558822,775540,1301280049
103年02月,高雄市,食,419135,717788256,594797,841163595
103年03月,高雄市,食,462466,735969638,683819,901684567
103年04月,高雄市,食,452018,708406609,677468,879141674
103年05月,高雄市,食,508613,832384477,746959,1023945212
103年06月,高雄市,食,504527,787693882,728182,964009119
103年07月,高雄市,食,557031,860634383,841055,1087452469
103年08月,高雄市,食,578618,948594480,877992,1235306702
103年09月,高雄市,食,509615,803024753,753645,1004334389
103年10月,高雄市,食,509405,784829130,756867,969229139
103年11月,高雄市,食,504395,793573145,754944,999799305
103年12月,高雄市,食,541683,883817651,834444,1113664766
104年01月,高雄市,食,545332,963799793,792989,1179184126
104年02月,高雄市,食,553624,1069157878,798211,1333932323
104年03月,高雄市,食,486654,804638305,704876,985919307
104年04月,高雄市,食,506195,792501221,743023,982198458
104年05月,高雄市,食,571618,930549449,816920,1155142537
104年06月,高雄市,食,550045,850898674,794067,1056641000
104年07月,高雄市,食,579573,900350546,859626,1129285699
104年08月,高雄市,食,647723,1046658165,965048,1377562096
104年09月,高雄市,食,581232,948078419,855267,1216012005
104年10月,高雄市,食,573524,896882645,825519,1089168676
104年11月,高雄市,食,556828,907440400,805196,1135231945
104年12月,高雄市,食,597063,985227082,891789,1219935688
105年01月,高雄市,食,627011,1157188834,882492,1468154516
105年02月,高雄市,食,589519,1041404940,799945,1280497904
105年03月,高雄市,食,530611,847766699,750922,1038410693
105年04月,高雄市,食,564390,873676141,785993,1079182204
105年05月,高雄市,食,607363,958928564,835917,1166612438
105年06月,高雄市,食,630622,968529159,863883,1167252482
105年07月,高雄市,食,674193,1025909551,952998,1269042977
105年08月,高雄市,食,647250,1041986994,940451,1359100496
105年09月,高雄市,食,610944,942160914,847092,1197429761
105年10月,高雄市,食,632374,949641836,861537,1147703999
105年11月,高雄市,食,491033,676877750,665690,724313052
105年12月,高雄市,食,552661,802186378,761073,871485520
106年01月,高雄市,食,586343,1022377007,769998,1151218940
106年02月,高雄市,食,483233,701163690,629565,763411712
106年03月,高雄市,食,497513,705481880,669549,797621835
106年04月,高雄市,食,537459,760620579,715379,859044898
106年05月,高雄市,食,562455,803743855,736558,926409657
106年06月,高雄市,食,524874,715317838,691307,831051246
106年07月,高雄市,食,605546,795464893,805153,940847355
106年08月,高雄市,食,603704,876215410,833817,1076020891
106年09月,高雄市,食,552899,809750928,746071,973184217
106年10月,高雄市,食,563670,828256093,742848,943934128
106年11月,高雄市,食,501636,735626714,688655,860357555
106年12月,高雄市,食,543352,808160388,738155,913173442
107年01月,高雄市,食,454766,749617170,624893,867401839
107年02月,高雄市,食,560971,954800333,758222,1123601388
107年03月,高雄市,食,499936,711227154,671678,818560470
107年04月,高雄市,食,614653,862664860,813313,1052910957
107年05月,高雄市,食,721153,1062648949,964757,1351406337
103年01月,高雄市,住,153413,685969441,133436,626334732
103年02月,高雄市,住,125797,503834885,110646,447657880
103年03月,高雄市,住,126048,499480762,105925,458465124
103年04月,高雄市,住,122710,520104357,101727,491285109
103年05月,高雄市,住,130720,544074662,114292,532838403
103年06月,高雄市,住,129703,537615805,113967,509744651
103年07月,高雄市,住,145106,623404472,129550,593702522
103年08月,高雄市,住,138637,533223564,122966,524226335
103年09月,高雄市,住,123786,495800967,110380,469888825
103年10月,高雄市,住,127201,500413848,108717,466144255
103年11月,高雄市,住,125642,522105642,109566,500670242
103年12月,高雄市,住,132113,557184967,112211,499275604
104年01月,高雄市,住,136376,615087194,122677,566476881
104年02月,高雄市,住,139388,582343348,129348,564606861
104年03月,高雄市,住,125394,483936707,108010,449789744
104年04月,高雄市,住,123879,543873894,106807,496236474
104年05月,高雄市,住,129790,561079379,114181,532654845
104年06月,高雄市,住,129269,572558020,115923,544388375
104年07月,高雄市,住,138943,594758388,126215,565330930
104年08月,高雄市,住,141718,553275158,129333,530876903
104年09月,高雄市,住,125991,503466228,111837,473494923
104年10月,高雄市,住,125743,512840447,108333,479602847
104年11月,高雄市,住,128157,574243090,112906,533036518
104年12月,高雄市,住,132030,583689621,115509,541647437
105年01月,高雄市,住,145998,674404891,131695,643778892
105年02月,高雄市,住,143844,629476211,132494,607244002
105年03月,高雄市,住,114018,430320614,97358,396521259
105年04月,高雄市,住,114249,500893839,100966,471796402
105年05月,高雄市,住,113487,494072860,102377,498218540
105年06月,高雄市,住,128117,551235566,115190,550726424
105年07月,高雄市,住,128108,554973521,120415,553556046
105年08月,高雄市,住,121623,495534441,117089,505219429
105年09月,高雄市,住,107159,442022696,97243,425023334
105年10月,高雄市,住,114992,470183444,104048,455857465
105年11月,高雄市,住,117548,506190612,104571,482299641
105年12月,高雄市,住,121860,515976370,110973,488496106
106年01月,高雄市,住,126343,620313853,122325,619023158
106年02月,高雄市,住,114779,469376671,110354,459734091
106年03月,高雄市,住,109010,447179609,100009,419029213
106年04月,高雄市,住,115696,525139103,105720,516829695
106年05月,高雄市,住,113573,501851011,107926,507702568
106年06月,高雄市,住,106660,484699323,101719,492610235
106年07月,高雄市,住,124010,569050182,121734,569263726
106年08月,高雄市,住,130093,564073325,130098,572259923
106年09月,高雄市,住,111610,489534835,109552,487665626
106年10月,高雄市,住,119211,518622968,113112,510752672
106年11月,高雄市,住,117140,537312273,107767,496858435
106年12月,高雄市,住,123116,543462571,116030,512714055
107年01月,高雄市,住,111653,542340500,106238,519110252
107年02月,高雄市,住,120391,546187630,122550,559258941
107年03月,高雄市,住,112532,480220491,107283,467006304
107年04月,高雄市,住,117644,572066016,114678,567677205
107年05月,高雄市,住,111257,515496810,105497,524749179
103年01月,高雄市,其他,224002,980702270,304810,1154223100
103年02月,高雄市,其他,182456,754869052,259697,949967575
103年03月,高雄市,其他,194978,848819771,278574,1078719231
103年04月,高雄市,其他,181753,786624606,259400,992563161
103年05月,高雄市,其他,192799,827832963,278205,1031009815
103年06月,高雄市,其他,192504,794842677,273600,956327596
103年07月,高雄市,其他,208386,872187453,298765,1064530387
103年08月,高雄市,其他,196898,804554090,286315,1014271866
103年09月,高雄市,其他,197224,837678201,287069,1076010032
103年10月,高雄市,其他,210944,899416542,305481,1100142738
103年11月,高雄市,其他,205188,871044478,296106,1082396228
103年12月,高雄市,其他,223196,1007304024,318675,1259478030
104年01月,高雄市,其他,228905,1088014496,327562,1355937894
104年02月,高雄市,其他,182609,835746920,264026,1040880742
104年03月,高雄市,其他,233036,909725065,329747,1155172996
104年04月,高雄市,其他,206131,854051443,296433,1081523701
104年05月,高雄市,其他,213192,903293935,311549,1152942437
104年06月,高雄市,其他,219693,927542158,313603,1121870900
104年07月,高雄市,其他,248301,1004712764,349824,1212365395
104年08月,高雄市,其他,230119,926985403,331174,1134975790
104年09月,高雄市,其他,217084,873011860,329721,1131809697
104年10月,高雄市,其他,235681,1013967873,355737,1287082274
104年11月,高雄市,其他,229477,970470511,351439,1254372312
104年12月,高雄市,其他,247352,1047041199,373630,1340110014
105年01月,高雄市,其他,232045,992106210,337713,1217967332
105年02月,高雄市,其他,187749,795501067,276796,1005576029
105年03月,高雄市,其他,251714,951102983,355667,1224142074
105年04月,高雄市,其他,224003,870815852,329358,1123643657
105年05月,高雄市,其他,213276,894004565,344536,1199927703
105年06月,高雄市,其他,243344,961816357,386345,1233509125
105年07月,高雄市,其他,270395,1012795656,418485,1283461507
105年08月,高雄市,其他,223522,937373750,370409,1256750856
105年09月,高雄市,其他,234828,901512827,374273,1188347943
105年10月,高雄市,其他,295864,1008624675,468522,1311528343
105年11月,高雄市,其他,315140,1058380881,483678,1385358035
105年12月,高雄市,其他,334033,1154169744,505216,1436604615
106年01月,高雄市,其他,294098,997706529,462410,1297581565
106年02月,高雄市,其他,268251,852245958,427457,1113031053
106年03月,高雄市,其他,344420,1016894617,524793,1296502841
106年04月,高雄市,其他,319876,941359143,480316,1160380938
106年05月,高雄市,其他,310776,982164019,484156,1227107451
106年06月,高雄市,其他,297298,977108956,468504,1202306267
106年07月,高雄市,其他,338947,1072337164,518412,1290082801
106年08月,高雄市,其他,316844,1027419443,506921,1279370330
106年09月,高雄市,其他,304259,1000742908,490118,1240424803
106年10月,高雄市,其他,331735,1041355292,514220,1271418382
106年11月,高雄市,其他,326276,1125362376,510413,1371628353
106年12月,高雄市,其他,344066,1171990531,533864,1428312782
107年01月,高雄市,其他,330391,1080392850,515640,1318933405
107年02月,高雄市,其他,304506,958654499,483282,1185543348
107年03月,高雄市,其他,340799,1099506156,529448,1352331887
107年04月,高雄市,其他,330355,1042267953,508697,1315231859
107年05月,高雄市,其他,350933,1136265762,556220,1490028077
103年01月,高雄市,行,748174,898711692,432049,458555874
103年02月,高雄市,行,676395,800011290,388292,411368498
103年03月,高雄市,行,751005,892494064,441418,460626781
103年04月,高雄市,行,723747,865909493,426471,447918526
103年05月,高雄市,行,768291,920316667,454074,478624653
103年06月,高雄市,行,762088,916423776,447735,484863403
103年07月,高雄市,行,777195,945432779,460507,499046174
103年08月,高雄市,行,775715,910024386,459963,483641565
103年09月,高雄市,行,746125,862494971,441730,457589688
103年10月,高雄市,行,780642,866740430,459296,453902870
103年11月,高雄市,行,746410,796252282,443787,425886430
103年12月,高雄市,行,783190,794555497,459639,423327437
104年01月,高雄市,行,751399,706475867,431542,385264481
104年02月,高雄市,行,711419,658176364,394247,349832189
104年03月,高雄市,行,768396,746283039,444130,395932658
104年04月,高雄市,行,751072,727817157,432806,386415182
104年05月,高雄市,行,786292,775175968,460416,421392244
104年06月,高雄市,行,794691,797259497,461801,428404623
104年07月,高雄市,行,807173,803734345,473540,448525735
104年08月,高雄市,行,785330,725317151,458764,399357222
104年09月,高雄市,行,786877,718455210,455616,390296367
104年10月,高雄市,行,810462,746957419,469501,401839453
104年11月,高雄市,行,794689,717704660,464841,393650104
104年12月,高雄市,行,803595,711544350,468807,388436222
105年01月,高雄市,行,623332,555746210,344731,312402038
105年02月,高雄市,行,546951,462654079,292752,246477368
105年03月,高雄市,行,597788,550975314,335036,296449151
105年04月,高雄市,行,596713,544899910,333876,294913907
105年05月,高雄市,行,618519,583684368,352192,315492947
105年06月,高雄市,行,638179,630047499,363479,345847442
105年07月,高雄市,行,623449,602857027,357044,338686372
105年08月,高雄市,行,666025,602258804,380322,336039271
105年09月,高雄市,行,585035,544735175,330094,297775546
105年10月,高雄市,行,643837,609476738,368311,341864009
105年11月,高雄市,行,648197,609423417,373892,333583046
105年12月,高雄市,行,672575,668813275,387254,368345239
106年01月,高雄市,行,600487,598754402,343333,328568487
106年02月,高雄市,行,547015,546136549,317017,303743054
106年03月,高雄市,行,627177,619366294,368384,352242874
106年04月,高雄市,行,651288,618718612,376364,344829513
106年05月,高雄市,行,625406,596048357,367129,342279990
106年06月,高雄市,行,538585,543561585,321633,314975204
106年07月,高雄市,行,563477,552574873,337298,326269087
106年08月,高雄市,行,575429,582342274,348309,345099589
106年09月,高雄市,行,556558,554713444,341393,332034446
106年10月,高雄市,行,587938,604605067,358762,359248715
106年11月,高雄市,行,573165,608398044,351116,362031687
106年12月,高雄市,行,598744,642078171,360423,378362797
107年01月,高雄市,行,526233,570533335,303627,329209796
107年02月,高雄市,行,511079,525565862,292731,295358193
107年03月,高雄市,行,572192,606707766,334154,349569105
107年04月,高雄市,行,594039,618078648,343955,360521701
107年05月,高雄市,行,622014,664455791,360155,376828876
103年01月,新北市,衣,38287,109441651,134009,416597767
103年02月,新北市,衣,22821,59995684,82759,234245294
103年03月,新北市,衣,24507,59739899,99568,274317576
103年04月,新北市,衣,23879,60093471,97716,267759398
103年05月,新北市,衣,28896,69072779,108536,293168713
103年06月,新北市,衣,27578,65555183,105128,283826744
103年07月,新北市,衣,28124,66745849,108993,282104806
103年08月,新北市,衣,31238,71434528,112496,273943633
103年09月,新北市,衣,25253,65490421,100271,269766956
103年10月,新北市,衣,27601,68009837,102030,281474486
103年11月,新北市,衣,26806,70946599,96362,289324336
103年12月,新北市,衣,32005,84302342,120952,365364662
104年01月,新北市,衣,30652,84430430,110432,339815805
104年02月,新北市,衣,35692,94832441,112449,332704941
104年03月,新北市,衣,25391,61596609,98831,275616062
104年04月,新北市,衣,24817,58767473,95680,263165877
104年05月,新北市,衣,25438,65512378,104058,296043798
104年06月,新北市,衣,23965,60741548,96665,265040533
104年07月,新北市,衣,25030,63582808,99512,269427469
104年08月,新北市,衣,26995,68202134,96564,251131431
104年09月,新北市,衣,24861,66063647,95993,266203532
104年10月,新北市,衣,30067,84161339,104678,299739462
104年11月,新北市,衣,28070,81650303,95657,284897471
104年12月,新北市,衣,34737,94739161,120557,353409986
105年01月,新北市,衣,109981,260269892,352965,898569643
105年02月,新北市,衣,86107,205113449,259071,678803262
105年03月,新北市,衣,63503,149703051,229901,574170885
105年04月,新北市,衣,80323,174751242,284120,666276986
105年05月,新北市,衣,89115,188778329,303795,702033790
105年06月,新北市,衣,92119,189765282,312306,706782155
105年07月,新北市,衣,85088,172832980,292318,646582343
105年08月,新北市,衣,77894,157051085,277172,600714626
105年09月,新北市,衣,64403,141086205,224410,530969879
105年10月,新北市,衣,77057,174259066,248742,601637736
105年11月,新北市,衣,81556,197945312,272701,695791385
105年12月,新北市,衣,104127,249751956,332010,839877295
106年01月,新北市,衣,105041,254706691,321067,824759469
106年02月,新北市,衣,69250,162553493,226893,545826230
106年03月,新北市,衣,61624,141071102,231093,558363325
106年04月,新北市,衣,76974,164019004,268845,624490016
106年05月,新北市,衣,83104,174404948,289147,669287682
106年06月,新北市,衣,72631,150923693,258943,584970184
106年07月,新北市,衣,77263,159299877,275247,610476146
106年08月,新北市,衣,69830,139287263,248837,532771464
106年09月,新北市,衣,63397,134753835,230721,520104236
106年10月,新北市,衣,76920,168750047,254281,594090217
106年11月,新北市,衣,78164,184117774,261348,660911697
106年12月,新北市,衣,93829,223588316,314597,803990530
107年01月,新北市,衣,73746,177928620,257512,660310176
107年02月,新北市,衣,87258,210987375,274936,698135610
107年03月,新北市,衣,62786,147109850,235264,578158075
107年04月,新北市,衣,73820,162979204,255795,597599332
107年05月,新北市,衣,85460,175883913,295472,673550489
103年01月,新北市,百貨,107526,412063579,234490,828622943
103年02月,新北市,百貨,79327,254266611,180114,543837728
103年03月,新北市,百貨,77673,246784523,176474,536672119
103年04月,新北市,百貨,78417,277936430,186278,672649404
103年05月,新北市,百貨,90114,316031957,200630,656107186
103年06月,新北市,百貨,85717,277132158,189425,587807978
103年07月,新北市,百貨,90023,272882354,216875,607197979
103年08月,新北市,百貨,91748,272207779,210926,570187569
103年09月,新北市,百貨,77079,227987574,171511,493284474
103年10月,新北市,百貨,110636,494960439,288775,1302804838
103年11月,新北市,百貨,96363,343253752,235905,876843448
103年12月,新北市,百貨,102728,341027361,233598,721906431
104年01月,新北市,百貨,94719,350687923,204850,717295051
104年02月,新北市,百貨,98155,362142192,208566,694973152
104年03月,新北市,百貨,72846,234519314,169541,548390234
104年04月,新北市,百貨,80315,286900290,190828,689858619
104年05月,新北市,百貨,101934,325855867,221515,685928347
104年06月,新北市,百貨,94529,281093573,203362,576415449
104年07月,新北市,百貨,93466,271719912,208911,583256761
104年08月,新北市,百貨,102136,280877568,214016,561634944
104年09月,新北市,百貨,94794,249886997,198571,568298653
104年10月,新北市,百貨,137760,537235371,326003,1324547270
104年11月,新北市,百貨,123676,381657356,292197,972202896
104年12月,新北市,百貨,129788,358951568,279854,744535733
105年01月,新北市,百貨,206788,571882723,437377,1116804240
105年02月,新北市,百貨,248254,618615024,476195,1123758565
105年03月,新北市,百貨,166016,355173106,353727,791250718
105年04月,新北市,百貨,186486,427496397,408014,980192852
105年05月,新北市,百貨,194834,423183965,416015,903125163
105年06月,新北市,百貨,203435,418250280,432848,885829536
105年07月,新北市,百貨,206904,399519770,447887,864155763
105年08月,新北市,百貨,178818,341254130,397420,745960766
105年09月,新北市,百貨,165897,322423991,348097,727423861
105年10月,新北市,百貨,213134,642162837,503007,1686421667
105年11月,新北市,百貨,191289,476471858,429433,1041030019
105年12月,新北市,百貨,206394,435824848,420969,844265807
106年01月,新北市,百貨,231307,584872343,465273,1146051509
106年02月,新北市,百貨,175714,384910426,359173,770736838
106年03月,新北市,百貨,157037,305341824,339522,722265961
106年04月,新北市,百貨,195374,431046676,413539,970148979
106年05月,新北市,百貨,201650,437205049,431597,934817152
106年06月,新北市,百貨,175160,330511980,371365,697163466
106年07月,新北市,百貨,204097,402454835,443917,891042199
106年08月,新北市,百貨,192060,356418212,419794,771684710
106年09月,新北市,百貨,168360,312331108,352824,640500152
106年10月,新北市,百貨,220173,619283934,482175,1497716166
106年11月,新北市,百貨,204835,543097583,466979,1292877584
106年12月,新北市,百貨,221659,475324415,464344,953900232
107年01月,新北市,百貨,177013,432799079,371545,866502368
107年02月,新北市,百貨,213956,530655526,433005,1008913910
107年03月,新北市,百貨,150782,307909653,338423,745406797
107年04月,新北市,百貨,184349,425270449,391728,918243169
107年05月,新北市,百貨,196285,433041268,431102,921849892
103年01月,新北市,文教康樂,79238,230393747,119322,443598345
103年02月,新北市,文教康樂,78437,194566862,106398,313936432
103年03月,新北市,文教康樂,82731,206623138,110604,358359477
103年04月,新北市,文教康樂,80684,206093661,107323,381097969
103年05月,新北市,文教康樂,89631,229182335,120450,440956626
103年06月,新北市,文教康樂,80814,229388844,109587,384384569
103年07月,新北市,文教康樂,79665,237812281,113512,397355889
103年08月,新北市,文教康樂,96500,261663455,129479,412974792
103年09月,新北市,文教康樂,85180,237674206,122754,415488624
103年10月,新北市,文教康樂,89714,252243412,127706,460672069
103年11月,新北市,文教康樂,87751,243495859,122551,424564402
103年12月,新北市,文教康樂,92529,264447841,136907,499176620
104年01月,新北市,文教康樂,97923,265969197,138241,493866775
104年02月,新北市,文教康樂,96964,261441019,134886,448287794
104年03月,新北市,文教康樂,94082,255145315,128264,424019121
104年04月,新北市,文教康樂,103355,264819948,137934,474902050
104年05月,新北市,文教康樂,105280,279694659,143906,512601336
104年06月,新北市,文教康樂,104101,270173230,134502,439515985
104年07月,新北市,文教康樂,102201,279874594,141952,457453602
104年08月,新北市,文教康樂,100308,262607097,141507,427759257
104年09月,新北市,文教康樂,94062,253305028,132272,439527445
104年10月,新北市,文教康樂,96954,278384575,138621,518275363
104年11月,新北市,文教康樂,92285,256032839,126474,425286020
104年12月,新北市,文教康樂,99302,279432441,144448,517489693
105年01月,新北市,文教康樂,175728,588931852,245167,929127925
105年02月,新北市,文教康樂,181751,524238264,241073,776947119
105年03月,新北市,文教康樂,161173,454521187,220168,711516625
105年04月,新北市,文教康樂,164997,438017621,221907,692742902
105年05月,新北市,文教康樂,167396,465687467,224598,733393849
105年06月,新北市,文教康樂,179258,484063244,242168,697780806
